amount,pay_time,brand_name,category,bank_account,pay_date,transaction_unique_number,transaction_type
60000,15:54:35,ÇÃ·¯½º O2O Á¦ÈÞ-(ÁÖ)¸¶ÀÌ¸®¾óÆ®¸³,Ç×°ø,,2022-09-06,,Ãâ±Ý
39000,15:57:02,ÇÃ·¯½º O2O Á¦ÈÞ-(ÁÖ)¸¶ÀÌ¸®¾óÆ®¸³,Ç×°ø,,2022-09-06,,Ãâ±Ý
70519,18:02:58,SAGRADA FAMILIA WEB B2,°ü±¤,,2022-09-07,,Ãâ±Ý
853111,10:12:33,AIRBNB * HMFYA3QH3F,¼÷¼Ò,,2022-09-07,,Ãâ±Ý
1031997,11:56:40,AIR FRANCE,Ç×°ø,,2022-09-07,,Ãâ±Ý
1031997,04:00:32,AIR FRANCE,Ç×°ø,,2022-09-07,,Ãâ±Ý
222200,0:16:37,KCP_1-(ÁÖ)¹Î´Ù,¼÷¼Ò,,2022-09-08,,Ãâ±Ý
225670,03:08:06,CASA BATLLO S.L.,°ü±¤,,2022-09-10,,Ãâ±Ý
3500,9:05:36,»ª´Ù¹æ ±¸ÀÇ¿ªÁ¡,Ä«Æä,,2022-09-10,,Ãâ±Ý
138000,21:57:19,ÇÃ·¯½º O2O Á¦ÈÞ-(ÁÖ)¸¶ÀÌ¸®¾óÆ®¸³,Ç×°ø,,2022-09-10,,Ãâ±Ý
405576,01:33:27,VUELING A EMI,Ç×°ø,,2022-09-11,,Ãâ±Ý
210246,11:32:02,AIRBNB * HMWRRM9YBR,¼÷¼Ò,,2022-09-11,,Ãâ±Ý
373217,08:35:55,RYANAIR   D7Q0,Ç×°ø,,2022-09-11,,Ãâ±Ý
244054,15:33:32,RYANAIR   SVX0,Ç×°ø,,2022-09-11,,Ãâ±Ý
239428,22:12:04,ÀÎÅÍ³Ý»ó°Å·¡-(ÁÖ)¸¶ÀÌ¸®¾óÆ®¸³,Ç×°ø,,2022-09-11,,Ãâ±Ý
598187,04:29:10,Hotel at Booking.com,¼÷¼Ò,,2022-09-12,,Ãâ±Ý
192736,23:09:54,Hotel at Booking.com,¼÷¼Ò,,2022-09-12,,Ãâ±Ý
450103,20:33:38,AIRBNB * HMEZKRYJ8P,¼÷¼Ò,,2022-09-13,,Ãâ±Ý
405907,06:02:50,AIRBNB * HMMJKN4S8A,¼÷¼Ò,,2022-09-13,,Ãâ±Ý
827560,22:09:10,AGROTURISME GOSSALBA,¼÷¼Ò,,2022-09-13,,Ãâ±Ý
1133085,09:20:10,ASIANA9882481409266,Ç×°ø,,2022-09-13,,Ãâ±Ý
1133085,20:59:55,ASIANA9882481409267,Ç×°ø,,2022-09-13,,Ãâ±Ý
43567,08:49:06,ARENAS,½Äºñ,,2022-09-14,,Ãâ±Ý
26717,02:03:36,EXPCABANYE,¼÷¼Ò,,2022-09-14,,Ãâ±Ý
60772,7:47:04,(ÁÖ)È£ÅÚ½Å¶óÀÎÃµ°øÇ×¸é¼¼Á¡,¼îÇÎ,,2022-09-14,,Ãâ±Ý
20400,7:55:35,¼¼ºìÀÏ·¹ºì ÀÎÃµ2°øÇ×¿¡¾î»çÀÌµåÁ¡,½Äºñ,,2022-09-14,,Ãâ±Ý
15000,8:03:54,ÇÁ¶óÀÓ¾à±¹,±âÅ¸,,2022-09-14,,Ãâ±Ý
70524,13:25:42,VIANA,¼÷¼Ò,,2022-09-15,,Ãâ±Ý
42891,04:44:33,FFGC CREMALLERA MONTSE,±³Åë,,2022-09-15,,Ãâ±Ý
11288,08:42:32,SUBWAY,±³Åë,,2022-09-15,,Ãâ±Ý
21438,01:06:40,PHONIX THE SMART POINT,¼îÇÎ,,2022-09-15,,Ãâ±Ý
400,11:46:54,2208SMS,±âÅ¸,,2022-09-15,,Ãâ±Ý
400,18:09:56,2208SMS,±âÅ¸,,2022-09-15,,Ãâ±Ý
76156,02:31:29,RESTAURANTE BOSQUE PAL,½Äºñ,,2022-09-16,,Ãâ±Ý
18708,19:54:56,EL CAFE DE LA PEDRERA,Ä«Æä,,2022-09-16,,Ãâ±Ý
11443,10:49:22,CASA BATLLO GUIXETA,°ü±¤,,2022-09-16,,Ãâ±Ý
99199,14:08:14,LA PARADETA,½Äºñ,,2022-09-17,,Ãâ±Ý
7938,23:37:12,BARCELONA AEROP TIENDA,Ç×°ø,,2022-09-17,,Ãâ±Ý
28617,08:21:38,PARK GELL,°ü±¤,,2022-09-17,,Ãâ±Ý
100114,00:13:47,EL CORTE INGLES PORTAL,¼îÇÎ,,2022-09-17,,Ãâ±Ý
18891,01:15:39,STASHER.COM,±âÅ¸,,2022-09-17,,Ãâ±Ý
53739,11:45:14,ALSA INTERNET,±³Åë,,2022-09-18,,Ãâ±Ý
79478,15:55:49,ATAHUALPA,½Äºñ,,2022-09-18,,Ãâ±Ý
13557,02:30:51,MESON TERRAZA MALVASIA,½Äºñ,,2022-09-18,,Ãâ±Ý
59858,15:36:10,PASJE TAPAS,½Äºñ,,2022-09-19,,Ãâ±Ý
73448,18:20:44,RIAD ELVIRA,¼÷¼Ò,,2022-09-19,,Ãâ±Ý
596735,20:23:29,rentalcars.com,±³Åë,,2022-09-20,,Ãâ±Ý
114382,16:30:50,TABLAO FLAMENCO EL ARE,°ü±¤,,2022-09-20,,Ãâ±Ý
27170,07:20:04,S I CATEDRAL DE SEVILL,°ü±¤,,2022-09-20,,Ãâ±Ý
41466,23:53:31,SACATUENTRADA.ES 2 WEB,°ü±¤,,2022-09-20,,Ãâ±Ý
173790,15:46:50,CENTAURO RENT A CAR S.,±³Åë,,2022-09-20,,Ãâ±Ý
34177,04:42:48,VINERIA SAN TELMO,½Äºñ,,2022-09-20,,Ãâ±Ý
209389,09:03:14,rentalcars.com,±³Åë,,2022-09-21,,Ãâ±Ý
584677,12:55:35,rentalcars.com,±³Åë,,2022-09-21,,Ãâ±Ý
111154,11:41:06,RENTALCARS.COM,±³Åë,,2022-09-21,,Ãâ±Ý
17313,23:58:43,BODEGAS SUR,½Äºñ,,2022-09-21,,Ãâ±Ý
36107,01:33:53,FCIA.RAMIREZ QUESADA,½Äºñ,,2022-09-21,,Ãâ±Ý
55001,03:10:16,OK MOBILITY SEVILLA SA,±³Åë,,2022-09-21,,Ãâ±Ý
65122,00:59:08,RESTAURANTE TRES DE OR,½Äºñ,,2022-09-21,,Ãâ±Ý
23881,14:05:52,CASTILLO DE ALMODOVAR,°ü±¤,,2022-09-21,,Ãâ±Ý
9000,16:08:07,BOULANGERIE DIRENE,½Äºñ,,2022-09-22,,Ãâ±Ý
121323,20:15:59,RESTAURANTE ALMUDAINA,½Äºñ,,2022-09-22,,Ãâ±Ý
28510,16:41:39,BAR ALEGRIA,½Äºñ,,2022-09-22,,Ãâ±Ý
28795,09:10:58,CAMINITO DEL REY,°ü±¤,,2022-09-22,,Ãâ±Ý
100747,02:57:41,E.S. CARMONA-AUTOVIA,±³Åë,,2022-09-23,,Ãâ±Ý
36530,07:44:42,OK MOBILITY SEVILLA,±³Åë,,2022-09-23,,Ãâ±Ý
112095,14:06:50,CENTAURO PALMA,±³Åë,,2022-09-23,,Ãâ±Ý
8559,06:34:33,CABILDO,°ü±¤,,2022-09-23,,Ãâ±Ý
28553,05:07:37,CABILDO,°ü±¤,,2022-09-23,,Ãâ±Ý
