amount,pay_time,brand_name,category,bank_account,pay_date
60000,15:54:35,플러스 O2O 제휴-(주)마이리얼트립,항공,,2022-09-06
39000,15:57:02,플러스 O2O 제휴-(주)마이리얼트립,항공,,2022-09-06
70519,18:02:58,SAGRADA FAMILIA WEB B2,관광,,2022-09-07
853111,10:12:33,AIRBNB * HMFYA3QH3F,숙소,,2022-09-07
1031997,11:56:40,AIR FRANCE,항공,,2022-09-07
1031997,4:00:32,AIR FRANCE,항공,,2022-09-07
222200,0:16:37,KCP_1-(주)민다,숙소,,2022-09-08
225670,3:08:06,CASA BATLLO S.L.,관광,,2022-09-10
3500,9:05:36,빽다방 구의역점,카페,,2022-09-10
138000,21:57:19,플러스 O2O 제휴-(주)마이리얼트립,항공,,2022-09-10
405576,1:33:27,VUELING A EMI,항공,,2022-09-11
210246,11:32:02,AIRBNB * HMWRRM9YBR,숙소,,2022-09-11
373217,8:35:55,RYANAIR   D7Q0,항공,,2022-09-11
244054,15:33:32,RYANAIR   SVX0,항공,,2022-09-11
239428,22:12:04,인터넷상거래-(주)마이리얼트립,항공,,2022-09-11
598187,4:29:10,Hotel at Booking.com,숙소,,2022-09-12
192736,23:09:54,Hotel at Booking.com,숙소,,2022-09-12
450103,20:33:38,AIRBNB * HMEZKRYJ8P,숙소,,2022-09-13
405907,6:02:50,AIRBNB * HMMJKN4S8A,숙소,,2022-09-13
827560,22:09:10,AGROTURISME GOSSALBA,숙소,,2022-09-13
1133085,9:20:10,ASIANA9882481409266,항공,,2022-09-13
1133085,20:59:55,ASIANA9882481409267,항공,,2022-09-13
43567,8:49:06,ARENAS,식비,,2022-09-14
26717,2:03:36,EXPCABANYE,숙소,,2022-09-14
60772,7:47:04,(주)호텔신라인천공항면세점,쇼핑,,2022-09-14
20400,7:55:35,세븐일레븐 인천2공항에어사이드점,식비,,2022-09-14
15000,8:03:54,프라임약국,기타,,2022-09-14
70524,13:25:42,VIANA,숙소,,2022-09-15
42891,4:44:33,FFGC CREMALLERA MONTSE,교통,,2022-09-15
11288,8:42:32,SUBWAY,교통,,2022-09-15
21438,1:06:40,PHONIX THE SMART POINT,쇼핑,,2022-09-15
400,11:46:54,2208SMS,기타,,2022-09-15
400,18:09:56,2208SMS,기타,,2022-09-15
76156,2:31:29,RESTAURANTE BOSQUE PAL,식비,,2022-09-16
18708,19:54:56,EL CAFE DE LA PEDRERA,카페,,2022-09-16
11443,10:49:22,CASA BATLLO GUIXETA,관광,,2022-09-16
99199,14:08:14,LA PARADETA,식비,,2022-09-17
7938,23:37:12,BARCELONA AEROP TIENDA,항공,,2022-09-17
28617,8:21:38,PARK GELL,관광,,2022-09-17
100114,0:13:47,EL CORTE INGLES PORTAL,쇼핑,,2022-09-17
18891,1:15:39,STASHER.COM,기타,,2022-09-17
53739,11:45:14,ALSA INTERNET,교통,,2022-09-18
79478,15:55:49,ATAHUALPA,식비,,2022-09-18
13557,2:30:51,MESON TERRAZA MALVASIA,식비,,2022-09-18
59858,15:36:10,PASJE TAPAS,식비,,2022-09-19
73448,18:20:44,RIAD ELVIRA,숙소,,2022-09-19
596735,20:23:29,rentalcars.com,교통,,2022-09-20
114382,16:30:50,TABLAO FLAMENCO EL ARE,관광,,2022-09-20
27170,7:20:04,S I CATEDRAL DE SEVILL,관광,,2022-09-20
41466,23:53:31,SACATUENTRADA.ES 2 WEB,관광,,2022-09-20
173790,15:46:50,CENTAURO RENT A CAR S.,교통,,2022-09-20
34177,4:42:48,VINERIA SAN TELMO,식비,,2022-09-20
209389,9:03:14,rentalcars.com,교통,,2022-09-21
584677,12:55:35,rentalcars.com,교통,,2022-09-21
111154,11:41:06,RENTALCARS.COM,교통,,2022-09-21
17313,23:58:43,BODEGAS SUR,식비,,2022-09-21
36107,1:33:53,FCIA.RAMIREZ QUESADA,식비,,2022-09-21
55001,3:10:16,OK MOBILITY SEVILLA SA,교통,,2022-09-21
65122,0:59:08,RESTAURANTE TRES DE OR,식비,,2022-09-21
23881,14:05:52,CASTILLO DE ALMODOVAR,관광,,2022-09-21
9000,16:08:07,BOULANGERIE DIRENE,식비,,2022-09-22
121323,20:15:59,RESTAURANTE ALMUDAINA,식비,,2022-09-22
28510,16:41:39,BAR ALEGRIA,식비,,2022-09-22
28795,9:10:58,CAMINITO DEL REY,관광,,2022-09-22
100747,2:57:41,E.S. CARMONA-AUTOVIA,교통,,2022-09-23
36530,7:44:42,OK MOBILITY SEVILLA,교통,,2022-09-23
112095,14:06:50,CENTAURO PALMA,교통,,2022-09-23
8559,6:34:33,CABILDO,관광,,2022-09-23
28553,5:07:37,CABILDO,관광,,2022-09-23
3469,6:43:42,AP. SA GERRERIA,숙소,,2022-09-24
6768,18:12:58,EROSKI CITY COLONIA DE,쇼핑,,2022-09-24
80683,7:50:43,E.S.MORA VICENS,쇼핑,,2022-09-24
92955,7:48:13,BRISAS DE MAR,숙소,,2022-09-24
